word;pos_sus;pos_nonsus;
порядок;;s;
девчонка;;s;
чистый;;a;
грыжа;s;;
просека;s;;
снежный;;a;
приземистый;;a;
сковывать;v;;
разбухать;v;;
скитаться;;v;
заныть;;v;
грабли;;s;
смеяться;v;;
менее;adv;;
стать;;v;
покривиться;v;;
грусть;;s;
потопать;;v;
пылать;;v;
головка;;s;
осторожно;;adv;
тот;apro;;
жуткий;a;;
гробовщик;s;;
низко;;adv;
вытирать;v;;
татарский;;a;
тележка;;s;
липовый;;a;
сквозь;pr;;
некоторый;;apro;
водить;;v;
рассказ;;s;
прятать;;v;
многий;;apro;
хозяин;s;;
секретарь;s;;
ветчина;;s;
крыльцо;;s;
деньги;;s;
мясник;s;;
вероятно;;adv;
зала;;s;
дружный;;a;
приятель;s;;
вода;;s;
десятина;;s;
посылать;v;;
повизгивать;;v;
знакомый;s;;
заметный;a;;
долина;;s;
царапина;s;;
сердечный;;a;
иждивение;;s;
обиженный;a;;
напряжение;;s;
гигантский;a;;
проба;;s;
нумер;s;;
общий;;a;
крепостной;;s;
похоронить;v;;
добираться;;v;
тяжело;adv;;
добрый;a;;
надуваться;v;;
черта;s;;
сбоку;;adv;
трепетать;;v;
журнал;;s;
метла;;s;
она;spro;;
отчаянно;adv;;
нагонять;;v;
лесной;;a;
боль;s;;
одерживать;v;;
машинистка;s;;
тревожный;;a;
девка;;s;
подводный;a;;
фронтон;;s;
опьянять;;v;
мамаша;s;;
сверкать;;v;
звучать;v;;
директор;s;;
главное;s;;
невольно;;adv;
начинаться;;v;
язык;s;;
дед;;s;
вставлять;;v;
шурин;;s;
прохлада;;s;
безумный;a;;
дитя;;s;
запах;;s;
восковой;a;;
сток;s;;
мерно;;adv;
кус;s;;
белеть;;v;
вид;s;;
полутемный;;a;
рубаха;;s;
радоваться;v;;
обдирать;v;;
табак;;s;
картавый;;a;
привыкать;v;;
красивый;;a;
дернуть;v;;
дождь;;s;
оживать;v;;
царство;;s;
туловище;s;;
соленый;a;;
безоружный;a;;
кавалер;;s;
ибо;;conj;
бородатый;;a;
надо;pr;;
кланяться;;v;
чем;conj;;
истина;s;;
полушубок;;s;
бояться;;v;
двинуться;v;;
сдерживать;v;;
страшно;adv;;
ампутация;s;;
набросать;v;;
обветренный;;a;
стискивать;v;;
извинять;v;;
слово;s;;
богатый;;a;
весело;;adv;
нотный;;a;
лениво;;adv;
поездка;;s;
гумно;;s;
зажигать;;v;
сказать;v;;
шум;;s;
целый;;a;
голубоватый;;a;
остров;;s;
черновик;s;;
камень;s;;
ух;;intj;
ко;pr;;
запыхаться;v;;
дворня;;s;
переваливаться;;v;
нужда;s;;
биться;v;;
дешевый;;a;
испугаться;v;;
вдруг;adv;;
рубашка;;s;
отрадно;;adv;
девушка;s;;
посинеть;v;;
земляной;;a;
ноготь;s;;
открывать;v;;
жребий;s;;
веселый;;a;
проливной;a;;
ах;intj;;
бедро;s;;
треть;s;;
памятник;s;;
индюшка;;s;
неизвестно;part;;
среди;;pr;
батюшка;s;;
полчаса;s;;
незнакомый;;a;
вспомнить;;v;
счастливый;a;;
бригадир;s;;
печально;;adv;
уж;s;;
босой;;a;
беспомощно;adv;;
сонный;;a;
жалеть;v;;
холостяк;;s;
вне;pr;;
соломенный;;a;
пусть;part;;
коридор;;s;
березовый;;a;
важно;;adv;
темно;;adv;
кафтан;s;;
брага;;s;
костяной;a;;
думаться;;v;
ведь;part;;
сюртук;;s;
выселок;;s;
вырубать;;v;
ресница;;s;
сад;;s;
постель;;s;
дорогой;a;;
валяться;;v;
непредвиденный;a;;
просторный;;a;
греться;;v;
инструмент;s;;
похвала;;s;
работа;;s;
мужик;;s;
сатирический;;a;
бойкий;;a;
колонна;;s;
бас;;s;
трава;s;;
момент;s;;
крикнуть;;v;
уютно;;adv;
куда;advpro;;
оба;num;;
благополучно;adv;;
сиятельство;s;;
видимо;adv;;
поредеть;;v;
шапка;;s;
разрываться;v;;
подковка;;s;
пасмурный;;a;
мы;spro;;
пила;s;;
беречь;;v;
старосветский;;a;
оно;;spro;
привязывать;;v;
лента;s;;
упиваться;;v;
попросить;v;;
хороший;;a;
локоть;s;;
заскорузлый;;a;
итого;adv;;
светлеть;v;;
воробей;;s;
спина;s;;
змея;s;;
галка;;s;
марлевый;a;;
барчук;;s;
ступать;v;;
сердце;;s;
поливать;;v;
стекло;;s;
свист;;s;
набок;adv;;
случай;s;;
осенять;v;;
побродить;;v;
покупка;;s;
суеверный;a;;
исполнение;s;;
гвардия;s;;
шляпа;s;;
раз;s;;
иметься;v;;
старинный;;a;
произносить;v;;
бумажка;s;;
отворять;v;;
читать;;v;
пожитки;;s;
тысяча;;s;
обедня;;s;
запылить;v;;
кончаться;v;;
далекий;a;;
кулеш;;s;
клиника;s;;
кисть;s;;
лай;;s;
сальный;;a;
счастие;s;;
покашливание;;s;
объятие;s;;
доезжать;;v;
меняться;;v;
огонек;;s;
легенда;;s;
железо;;s;
сбиваться;v;;
кофеин;s;;
сельский;;a;
гордиться;;v;
полутруп;s;;
домовитый;;a;
упираться;;v;
голень;s;;
подавать;v;;
пестрый;;a;
дотягиваться;;v;
часы;;s;
оттягивать;v;;
розовый;;a;
расстилаться;;v;
фельдшер;s;;
дым;;s;
холщовый;;a;
строевой;;a;
идти;;v;
случаться;;v;
отбрасывать;v;;
старина;;s;
прошамкать;v;;
макушка;;s;
квас;;s;
предпочитать;v;;
одевать;v;;
ехать;;v;
поле;;s;
потянуться;;v;
университет;s;;
песня;;s;
бревно;;s;
выскакивать;;v;
старый;;a;
привидение;;s;
высовываться;v;;
перекидывать;;v;
заметка;;s;
отдышаться;v;;
любовник;s;;
долгий;;a;
волноваться;;v;
попойка;;s;
безнадежно;;adv;
пробежать;;v;
ступня;s;;
закрывать;;v;
заострять;v;;
поплыть;;v;
облачаться;;v;
лакейский;;a;
ярко;;adv;
переводиться;;v;
облако;;s;
муж;s;;
шкурка;;s;
кожа;s;;
догадываться;v;;
кость;s;;
пляска;;s;
приглашение;s;;
долго;;adv;
знакомец;s;;
отсасывать;v;;
мертвец;s;;
пышно;;adv;
рельс;;s;
камфара;s;;
ожидание;s;;
операционный;a;;
говор;;s;
светиться;;v;
раздавливать;v;;
неудержимо;adv;;
мода;;s;
выселки;;s;
покусать;v;;
туча;;s;
рябина;;s;
поддевка;;s;
камин;s;;
голубой;;a;
ноябрьский;;a;
ноябрь;;s;
сентябрь;;s;
здравый;a;;
персидский;;a;
шуточка;;s;
росчерк;;s;
совсем;;adv;
озаряться;;v;
показываться;v;;
веять;;v;
картина;s;;
взвизгивать;v;;
перебирать;;v;
старик;;s;
древесный;;a;
развертывать;;v;
гитара;;s;
млечный;;a;
телеграфный;;a;
обвести;v;;
блеск;;s;
младой;;a;
выступать;v;;
надевать;;v;
передавать;;v;
зиять;v;;
шершавый;;a;
екатерининский;;a;
потерять;v;;
усталость;;s;
инстинкт;s;;
легкий;;a;
шустрый;;a;
громадный;a;;
борзая;;s;
торопливо;;adv;
ласково;adv;;
дьявольски;adv;;
свешиваться;v;;
особенно;;adv;
разум;;s;
нищенство;;s;
баня;s;;
немножко;num;;
сон;;s;
анатомический;a;;
лад;;s;
простыня;s;;
синеватый;;a;
напыщенный;;a;
пространный;;a;
униматься;;v;
пятно;s;;
очутиться;v;;
напутственный;a;;
тесть;;s;
жидкий;;a;
совет;s;;
лиловый;;a;
никитский;a;;
солнечный;;a;
санки;;s;
впереди;;pr;
лампада;;s;
звездочка;;s;
охотник;;s;
необычный;a;;
собственный;a;;
жаль;adv;;
чертить;;v;
дрозд;;s;
работать;v;;
укус;s;;
дура;s;;
пестик;s;;
приятный;;a;
просыпать;;v;
десна;s;;
призрение;;s;
зелень;;s;
дворовый;;a;
сминать;v;;
взреветь;v;;
антоновский;;a;
живучий;a;;
перевод;;s;
полк;s;;
слеза;s;;
гончая;;s;
борода;s;;
здоровый;;a;
антоновка;;s;
абажур;s;;
колено;s;;
ниточка;s;;
затем;adv;;
испытывать;v;;
груда;s;;
резко;;adv;
остаток;s;;
здорово;;part;
лестница;s;;
голубь;;s;
умолять;v;;
искусственный;a;;
понимать;v;;
сильно;;adv;
хвост;;s;
снег;;s;
впрыскивать;v;;
доходить;v;;
удивительный;;a;
погребать;v;;
ложиться;;v;
припадать;v;;
бродить;;v;
сивый;;a;
затихать;v;;
сливать;;v;
приезжать;v;;
прицеливаться;v;;
навозный;;a;
покупать;;v;
вспыхивать;v;;
лигатура;s;;
полоска;;s;
поглядывать;;v;
необыкновенно;;adv;
встреча;s;;
подумать;v;;
тайна;;s;
вырисовываться;;v;
жадно;;adv;
зловещий;;a;
осенний;;a;
кучер;;s;
кукушка;;s;
посреди;;pr;
разговор;;s;
тетка;;s;
кабы;;conj;
повалить;v;;
маринад;;s;
похрапывать;;v;
когда;;conj;
грудь;;s;
покачивать;;v;
воображение;s;;
волновать;;v;
бедняк;s;;
гулкий;;a;
обыкновение;;s;
ни;part;;
достойный;;a;
ослепительно;;adv;
помогать;v;;
кадушка;;s;
безжизненный;a;;
человеческий;a;;
неужели;part;;
медленно;;adv;
подтягиваться;;v;
холодно;;adv;
жнивье;;s;
махорка;;s;
папироса;;s;
пробивать;v;;
обеднеть;;v;
кресло;;s;
вкладывать;v;;
закипать;;v;
внутренний;a;;
успевать;v;;
делаться;;v;
ожидаться;v;;
безмолвный;;a;
пропадать;;v;
пуля;s;;
разряжать;v;;
хутор;;s;
мешать;;v;
заезжать;;v;
лук;;s;
отвечать;v;;
кисловатый;;a;
холод;;s;
губа;s;;
культя;s;;
кроме;pr;;
перепрыгивать;;v;
дикарский;;a;
спрашивать;v;;
ропот;s;;
барыня;;s;
занятый;;a;
возок;;s;
ботфорт;s;;
померкнуть;v;;
убитый;;s;
опасность;s;;
ради;pr;;
пойти;v;;
тихо;;adv;
палата;s;;
куст;s;;
подавиться;v;;
широко;;adv;
обед;;s;
деревенский;;a;
душа;;s;
донец;;s;
круг;;s;
левый;s;;
мышца;s;;
береза;;s;
благополучие;;s;
заманчивый;;a;
сосновый;a;;
марля;s;;
прическа;;s;
громкий;a;;
увлекаться;;v;
чепец;s;;
выжигать;;v;
небо;;s;
костюм;;s;
путь;;s;
считать;v;;
основательно;;adv;
бок;;s;
музыкальный;;a;
сапог;;s;
пять;num;;
курица;;s;
баритон;;s;
писать;v;;
коралловый;;a;
православный;s;;
волос;s;;
посереть;;v;
мягкий;;a;
трогать;v;;
прежде;;pr;
шарахнуться;v;;
устанавливать;v;;
засыхать;v;;
сбруя;;s;
краска;;s;
прикрывать;v;;
невысокий;;a;
край;s;;
бывать;;v;
осень;;s;
закатить;;v;
сила;s;;
вынимать;v;;
колкий;;a;
всегда;;advpro;
ножка;;s;
горошек;;s;
наборный;;a;
клеенка;s;;
переплет;;s;
отталкивать;v;;
стаж;s;;
косточка;s;;
отдел;s;;
слышно;;adv;
около;;pr;
кротко;;adv;
поместье;;s;
поверхность;;s;
поздний;;a;
дыбом;adv;;
рак;s;;
вдавливать;v;;
план;;s;
происшествие;s;;
витой;;a;
верх;s;;
составлять;v;;
тампон;s;;
затрещать;v;;
скамеечка;;s;
ветер;;s;
полковник;s;;
купец;s;;
топтать;v;;
передний;;a;
пощечина;s;;
постройка;;s;
черт;s;;
возвращаться;;v;
гусиный;;a;
представляться;;v;
вознесение;s;;
кочерга;s;;
одиночество;;s;
схватывать;v;;
совершенно;adv;;
великолепный;;a;
топить;;v;
разный;a;;
издавать;;v;
рот;s;;
мрачно;adv;;
барабан;;s;
конец;s;;
пчела;;s;
поклон;s;;
мещанин;;s;
баба;s;;
каково;advpro;;
странно;adv;;
остро;adv;;
целить;v;;
порваться;v;;
юркнуть;v;;
наперерез;;adv;
рыжеватый;a;;
сетка;;s;
тройка;;s;
голый;;a;
подлый;a;;
множество;;s;
прежний;;a;
двор;;s;
унижение;s;;
дама;s;;
золотой;;s;
безрукавка;;s;
сало;;s;
продавать;v;;
может;;adv;
одобрять;v;;
мокрый;;a;
местность;;s;
полоснуть;v;;
общественный;;a;
про;;pr;
ход;;s;
рассказывать;v;;
вор;s;;
чахоточный;;a;
горячий;;a;
качаться;;v;
заступать;;v;
обходить;v;;
нарушать;;v;
бегать;;v;
проходить;v;;
разметать;;v;
столетний;;a;
декламировать;;v;
сто;;num;
гармоника;;s;
смерть;s;;
лисий;a;;
инкрустация;;s;
село;;s;
обнажать;v;;
связь;;s;
вперед;pr;;
корточки;;s;
мочь;v;;
сочувствие;s;;
ровный;;a;
откуда;;advpro;
мальчишка;;s;
объявлять;v;;
закрадываться;;v;
закричать;v;;
треугольный;a;;
разваливаться;v;;
резкость;s;;
орден;;s;
преодолевать;v;;
заповедный;;a;
скользить;;v;
пук;;s;
уголок;;s;
припоминать;v;;
жена;s;;
сытый;;a;
отставка;;s;
помирать;v;;
дрова;;s;
тело;s;;
свежий;;a;
рама;;s;
пропахнуть;;v;
север;;s;
обстановка;s;;
сухой;;a;
пить;;v;
побежать;;v;
никакой;apro;;
ружье;;s;
осаживать;;v;
лес;;s;
вокруг;;pr;
убегать;;v;
нечего;;advpro;
женственно;;adv;
баранина;;s;
шестой;;anum;
росинка;s;;
хозяйство;;s;
трепещущий;;a;
бал;s;;
труба;;s;
настраиваться;;v;
стук;;s;
карандаш;s;;
нос;s;;
оглушать;v;;
пустынно;;adv;
утерпеть;v;;
ледяной;;a;
суетиться;;v;
космы;;s;
меж;;pr;
лететь;;v;
след;s;;
жила;s;;
жеребец;;s;
лепить;;v;
случайно;;adv;
действовать;v;;
освещать;v;;
собственно;part;;
ужас;s;;
мечта;;s;
благопристойный;a;;
чиновный;a;;
стон;;s;
вал;;s;
отпадать;v;;
бурно;adv;;
созвездие;;s;
лисица;;s;
полянка;;s;
бойко;;adv;
людно;;adv;
стеклянный;a;;
барин;;s;
усилие;s;;
застилать;v;;
пробиваться;;v;
лохматый;;a;
грубый;;a;
захотеть;v;;
покойница;s;;
неприятный;a;;
надворный;;a;
понемногу;;adv;
услышать;;v;
негодование;s;;
тут;advpro;;
молотить;;v;
косяк;;s;
причем;conj;;
утро;;s;
серебряный;;a;
покой;;s;
сиять;;v;
шуршать;;v;
ящик;;s;
постромка;;s;
закружиться;v;;
второпях;adv;;
матерый;;a;
двигаться;;v;
верховой;;s;
ясный;;a;
гора;;s;
хотя;;part;
просить;v;;
зайти;v;;
бриллиантовый;;a;
нужно;adv;;
прозрачный;;a;
без;pr;;
копыто;;s;
человек;s;;
чтобы;conj;;
если;;conj;
