 	a	adv	advpro	anum	apro	conj	intj	num	part	pr	s	s.PROP	spro	v	AVG	1,00%	a	s	v
S1	17	5	3	0	5	6	1	0	10	8	35	0	14	24	128	1,28	13,28125	27,34375	18,75
S2	2	0	2	0	0	1	0	0	1	1	10	0	4	11	32	0,32	6,25	31,25	34,375
S3	1	1	0	0	0	0	0	0	0	2	3	0	0	3	10	0,1	10	30	30
S4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0,02	0	50	50
S5	1	4	3	0	9	4	0	0	1	15	20	3	12	18	90	0,9	1,1111111111	22,2222222222	20
S6	6	6	1	0	1	3	0	1	7	5	21	2	8	16	77	0,77	7,7922077922	27,2727272727	20,7792207792
S7	3	1	3	1	2	3	2	1	7	10	19	0	13	15	80	0,8	3,75	23,75	18,75
S8	0	0	0	0	0	0	0	0	0	0	4	0	1	2	7	0,07	0	57,1428571429	28,5714285714
S9	2	2	0	0	2	2	0	1	5	8	16	2	6	12	58	0,58	3,4482758621	27,5862068966	20,6896551724
S10	0	0	0	0	0	0	0	1	2	0	1	1	2	4	11	0,11	0	9,0909090909	36,3636363636
S11	2	1	0	0	1	1	0	0	2	3	9	2	2	7	30	0,3	6,6666666667	30	23,3333333333
S12	26	19	4	1	30	27	0	1	22	49	122	17	40	96	454	4,54	5,7268722467	26,872246696	21,1453744493
S13	0	2	0	0	1	0	0	0	1	0	3	0	0	2	9	0,09	0	33,3333333333	22,2222222222
S14	1	5	0	0	0	2	0	0	2	1	7	0	2	3	23	0,23	4,347826087	30,4347826087	13,0434782609
S15	0	1	0	0	0	0	0	0	4	0	0	0	1	3	9	0,09	0	0	33,3333333333
S16	4	0	1	0	2	1	0	1	1	2	13	1	2	9	37	0,37	10,8108108108	35,1351351351	24,3243243243
S17	0	1	0	0	1	0	0	0	0	0	1	0	3	4	10	0,1	0	10	40
S18	1	1	0	0	2	3	0	0	2	4	13	1	2	6	35	0,35	2,8571428571	37,1428571429	17,1428571429
S19	0	1	0	0	2	2	0	0	0	1	5	1	5	8	25	0,25	0	20	32
S20	9	14	3	2	10	9	0	2	21	25	60	2	61	81	299	2,99	3,0100334448	20,0668896321	27,0903010033
S21	10	0	0	0	1	4	0	0	0	2	18	0	3	9	47	0,47	21,2765957447	38,2978723404	19,1489361702
S22	3	2	2	0	2	3	0	1	2	7	15	0	5	13	55	0,55	5,4545454545	27,2727272727	23,6363636364
S23	0	2	0	0	0	2	0	0	0	1	1	0	2	3	11	0,11	0	9,0909090909	27,2727272727
S24	3	4	1	0	3	1	0	1	5	3	12	0	4	12	49	0,49	6,1224489796	24,4897959184	24,4897959184
S25	4	3	1	0	0	3	0	0	2	10	24	4	4	16	71	0,71	5,6338028169	33,8028169014	22,5352112676
S26	1	0	1	0	0	2	0	0	2	4	10	0	6	8	34	0,34	2,9411764706	29,4117647059	23,5294117647
S27	0	0	0	0	0	0	0	1	0	0	3	0	0	2	6	0,06	0	50	33,3333333333
S28	2	2	2	0	3	3	0	2	0	3	10	0	4	7	38	0,38	5,2631578947	26,3157894737	18,4210526316
S29	0	0	0	0	1	0	0	0	1	0	1	0	4	4	11	0,11	0	9,0909090909	36,3636363636
S30	2	2	1	0	0	2	0	0	3	6	6	0	6	6	34	0,34	5,8823529412	17,6470588235	17,6470588235
S31	4	0	0	0	0	1	0	0	1	1	6	0	2	4	19	0,19	21,0526315789	31,5789473684	21,0526315789
S32	5	2	1	0	1	5	0	1	4	4	18	3	7	14	65	0,65	7,6923076923	27,6923076923	21,5384615385
S33	0	0	1	0	0	0	0	0	1	0	1	0	2	3	8	0,08	0	12,5	37,5
S34	2	2	0	0	7	2	0	0	5	5	15	4	3	11	56	0,56	3,5714285714	26,7857142857	19,6428571429
S35	4	3	1	1	7	4	0	1	2	6	25	3	8	18	83	0,83	4,8192771084	30,1204819277	21,686746988
S36	1	0	0	0	3	2	0	0	1	2	5	0	1	2	17	0,17	5,8823529412	29,4117647059	11,7647058824
S37	3	1	0	0	0	1	0	1	0	5	9	0	3	4	27	0,27	11,1111111111	33,3333333333	14,8148148148
S38	1	0	1	0	0	1	0	0	2	2	3	2	1	3	16	0,16	6,25	18,75	18,75
S39	0	1	0	0	0	0	0	0	1	1	1	0	5	6	15	0,15	0	6,6666666667	40
S40	0	1	0	0	0	0	0	0	1	0	1	0	1	1	5	0,05	0	20	20
S41	0	1	0	0	0	1	0	0	0	5	10	0	3	4	24	0,24	0	41,6666666667	16,6666666667
S42	1	1	0	0	0	2	0	0	1	0	3	2	0	1	11	0,11	9,0909090909	27,2727272727	9,0909090909
S43	0	2	0	0	0	1	0	0	0	3	14	0	2	8	30	0,3	0	46,6666666667	26,6666666667
S44	3	1	0	0	1	1	0	0	1	1	5	0	2	3	18	0,18	16,6666666667	27,7777777778	16,6666666667
S45	1	0	0	0	0	1	0	0	1	2	3	2	1	3	14	0,14	7,1428571429	21,4285714286	21,4285714286
S46	1	1	1	0	1	2	0	1	3	2	11	0	1	3	27	0,27	3,7037037037	40,7407407407	11,1111111111
S47	2	1	2	0	2	1	0	0	1	1	6	0	3	6	25	0,25	8	24	24
S48	1	1	0	0	6	1	0	3	4	3	10	0	1	6	36	0,36	2,7777777778	27,7777777778	16,6666666667
S49	7	4	2	0	2	4	0	0	5	4	15	0	5	15	63	0,63	11,1111111111	23,8095238095	23,8095238095
S50	2	0	0	0	1	0	0	0	0	0	1	0	0	2	6	0,06	33,3333333333	16,6666666667	33,3333333333
S51	2	7	1	0	17	4	4	1	28	10	51	4	30	46	205	2,05	0,9756097561	24,8780487805	22,4390243902
																	5,5844579366	26,9330969482	24,0572754885
