 	'(''a'', ''conj'', ''a'', ''s'')'	'(''a'', ''s'', ''a'', ''s'')'	'(''a'', ''s'', ''pr'', ''a'')'	'(''a'', ''s'', ''pr'', ''s'')'	'(''a'', ''s'', ''v'', ''pr'')'	'(''a'', ''s'', ''v'', ''s'')'	'(''pr'', ''a'', ''a'', ''s'')'	'(''pr'', ''s'', ''a'', ''s'')'	'(''pr'', ''s'', ''pr'', ''s'')'	'(''pr'', ''s'', ''v'', ''s'')'	'(''s'', ''conj'', ''v'', ''pr'')'	'(''s'', ''conj'', ''v'', ''s'')'	'(''s'', ''pr'', ''a'', ''s'')'	'(''s'', ''pr'', ''s'', ''conj'')'	'(''s'', ''pr'', ''s'', ''s'')'	'(''s'', ''pr'', ''s'', ''v'')'	'(''s'', ''s'', ''pr'', ''s'')'	'(''s'', ''s'', ''s'', ''s'')'	'(''s'', ''s'', ''v'', ''pr'')'	'(''s'', ''s'', ''v'', ''spro'')'	'(''s'', ''spro'', ''part'', ''v'')'	'(''s'', ''spro'', ''v'', ''pr'')'	'(''s'', ''v'', ''a'', ''s'')'	'(''s'', ''v'', ''pr'', ''s'')'	'(''s'', ''v'', ''s'', ''s'')'	'(''spro'', ''v'', ''pr'', ''s'')'	'(''v'', ''pr'', ''a'', ''s'')'	'(''v'', ''pr'', ''s'', ''conj'')'	'(''v'', ''pr'', ''s'', ''s'')'	'(''v'', ''s'', ''conj'', ''v'')'	'(''v'', ''s'', ''pr'', ''s'')'	'(''v'', ''s'', ''s'', ''v'')'	'(''v'', ''s'', ''spro'', ''v'')'	'(''v'', ''spro'', ''v'', ''s'')'
S1	0	3	2	6	1	2	1	3	2	2	1	0	2	0	3	3	1	0	1	0	0	0	4	3	1	0	0	1	1	0	1	0	0	0
S2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S3	0	0	1	1	1	0	0	1	0	2	1	0	1	0	0	2	2	0	0	0	0	1	0	2	0	1	2	0	2	0	0	0	1	0
S4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
S6	1	3	0	0	2	0	2	1	2	0	0	0	2	1	0	1	1	0	0	1	0	0	0	2	0	0	0	1	0	0	1	1	0	1
S7	0	1	0	0	0	1	0	1	0	2	0	1	0	0	3	1	2	1	1	0	0	0	0	4	2	0	0	1	3	0	3	0	0	0
S8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
S9	3	1	2	5	0	1	0	0	2	0	0	1	6	3	2	3	1	0	0	0	0	1	2	2	0	1	0	1	0	2	1	0	0	0
S10	1	3	0	2	2	2	1	0	2	2	0	0	0	1	1	1	3	2	2	1	2	0	0	2	1	1	3	1	0	0	0	0	0	0
S11	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
S12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S13	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
S14	2	0	2	0	1	0	0	1	1	0	1	0	3	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0
S15	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
S16	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S17	2	0	1	3	1	1	2	2	2	1	1	1	3	3	0	0	2	0	1	0	0	1	1	1	3	1	0	1	0	1	0	0	0	0
S18	2	1	0	3	0	0	0	1	3	0	0	0	0	1	1	2	1	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0
S19	1	1	2	0	0	2	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
S20	5	1	1	2	1	1	2	1	0	0	1	1	2	0	1	0	0	0	1	0	0	0	1	1	1	0	3	1	2	1	0	1	0	0
S21	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
S22	2	2	3	1	1	2	2	2	3	0	2	1	3	4	1	2	3	2	2	0	0	2	2	3	0	1	2	1	5	1	0	0	1	0
S23	0	0	1	0	0	0	2	1	2	0	1	0	1	1	1	0	1	0	1	0	0	0	0	2	1	0	2	0	4	0	2	0	0	0
S24	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
S25	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
S26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
S27	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	2	4	0	0	0	0	4	0	1	0	1	1	0	0	0	0	0
S28	0	0	1	1	1	2	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	0	2	0	0	0	1	0	0	0
	0,75	0,7142857143	0,6071428571	0,9285714286	0,5357142857	0,5714285714	0,5357142857	0,5714285714	0,7857142857	0,5	0,2857142857	0,1785714286	1	0,5714285714	0,4642857143	0,8214285714	0,6428571429	0,5714285714	0,5	0,0714285714	0,1071428571	0,25	0,5714285714	1,2142857143	0,4285714286	0,25	0,6071428571	0,3928571429	0,8214285714	0,1785714286	0,4285714286	0,1071428571	0,0714285714	0,0357142857
